Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
it,monsummano terme,43.866667,10.816667,71.71,88,0,4.7
ph,bacungan,8.1551,122.9311,83.54,83,48,13.4
uz,pop,40.873611100000005,71.10888890000001,80.6,44,40,2.24
ec,rocafuerte,-0.9166667,-80.4333333,82.4,74,40,11.41
ie,swinford,53.95,-8.95,54.92,100,64,8.37
ph,pandanon,10.556961,123.147502,79.94,83,92,13.67
no,koppang,61.566667,11.066667,57.71,74,12,4.56
no,espeland,60.38333299999999,5.466667,58.43,90,88,2.59
ru,idrinskoye,54.370833,92.13583299999999,47.9,87,0,2.48
in,andippatti,9.983333,77.633333,67.97,88,88,3.89
us,marina,36.6844444,-121.8011111,69.04,77,1,8.05
gr,andravida,37.9,21.2666667,73.53,78,0,5.79
tr,kozan,37.455166999999996,35.81573,80.6,78,40,3.36
dk,ullerslev,55.361722,10.651905000000001,73.4,69,0,6.93
us,orland park,41.6302778,-87.85388890000002,75.34,83,40,6.93
gr,askos,40.75,23.3833333,75.2,53,20,6.93
it,san dona di piave,45.631667,12.569444,81.79,74,0,2.24
hn,toloa adentro,15.616666699999998,-87.7166667,77.02,100,75,4.7
in,bid,18.983333,75.766667,74.18,86,80,10.83
cm,mbengwi,6.0166667,10.0,62.66,100,92,2.04
ru,chernoyerkovskaya,45.433056,37.768611,73.4,94,32,8.95
ru,krasnyy gulyay,54.028214,48.333273,66.2,82,20,6.71
cn,huzhou,30.870301,120.09329699999999,83.27,87,0,4.23
pe,puerto maldonado,-12.6,-69.1833333,77,83,0,3.36
ph,maluso,6.542999999999999,121.8753,78.8,88,90,4.7
ca,timmins,48.466667,-81.333333,69.8,68,75,3.36
cz,svoboda nad upou,50.623117,15.817125,78.8,57,0,6.93
ph,malasin,16.80286,121.78574099999999,75.17,98,88,4.12
az,horadiz,39.448771,47.335313,67.52,80,0,2.55
gb,plymouth,50.396389,-4.138611,57.2,82,20,3.36
in,shirgaon,19.7,72.7,82.4,83,75,9.17
ua,volodarka,49.524836,29.912219,57.8,82,0,3
br,ipiau,-14.133332999999999,-39.733333,69.77,95,76,5.01
gr,sevasti,40.358611100000005,22.5438889,75.2,53,20,6.93
ro,albesti,45.316666999999995,25.0,54.02,87,12,1.99
de,elmshorn,53.75,9.65,77.36,36,0,8.05
ru,chokurdakh,70.633333,147.916667,41.78,88,0,8.3
id,ponorogo,-7.8685,111.462,67.07,94,20,3.56
pt,antas,41.736444,-8.308882,62.6,93,75,5.82
py,general artigas,-26.933333,-56.216667,72.84,60,0,6.93
cn,haimen,23.193486,116.614218,78.8,94,20,2.24
in,srinagar,30.216666999999998,78.783333,67.25,96,64,2.1
us,tualatin,45.3841667,-122.7627778,90.05,36,1,6.93
in,kulti,23.733333,86.85,76.07,97,92,10.09
co,el roble,9.101935000000001,-75.19508,89.75,63,48,5.61
gb,selkirk,55.533333,-2.85,50.79,87,0,3.36
ua,zolochiv,49.805974,24.894357,59,87,0,2.24
de,kirkel,49.283333,7.233333,77,44,76,6.93
us,newburyport,42.8125,-70.87777779999999,87.06,49,1,10.29
rs,lebane,42.923889,21.7375,71.6,78,0,2.24
ph,malajog,12.1102,124.4793,84.35,92,80,17.47
ro,viisoara,48.166667,26.733333000000002,64.4,88,0,2.71
mx,filomeno mata,20.2,-97.7,80.6,78,90,6.93
pg,morehead,-8.55,141.65,80.66,75,20,10.94
in,gangapur,19.683332999999998,75.016667,73.01,94,92,9.53
mx,cerritos,22.433332999999998,-100.283333,76.07,56,8,9.75
us,moca,18.396666699999997,-67.11361109999999,84.2,74,75,13.87
et,kembolcha,11.083333,39.733333,50.51,100,64,2.89
lt,visaginas,55.6,26.4166667,61.85,84,68,2.89
us,sunset,25.7055556,-80.3525,88.48,66,40,12.75
id,karang tengah,-6.9086110000000005,106.910556,65,89,0,3.71
ph,luna,10.969000000000001,123.2419,79.94,83,92,13.67
ua,brovary,50.518094,30.806712,61.41,77,0,4.47
py,san pedro del parana,-26.833333000000003,-56.2,72.86,60,0,6.93
